Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
0.62,-0.073235686,-0.101198402,-0.001480927,,,
0.624,-0.073235686,-0.101198402,-0.001523959,,,
0.628,-0.073235686,-0.101198402,-0.00156692,,,
0.632,-0.073235686,-0.101198402,-0.001609809,,,
0.636,-0.073235686,-0.101198402,-0.001652628,,,
0.64,-0.073235686,-0.101198402,-0.001695375,,,
0.644,0.926764314,-0.101198402,-0.001738051,,,
0.648,-0.073235686,-0.101198402,-0.001780656,,,
0.652,-0.073235686,-0.101198402,-0.00182319,,,
0.656,-0.073235686,-0.101198402,-0.001865654,,,
0.66,-0.073235686,-0.101198402,-0.001908048,,,
0.664,-0.073235686,-0.101198402,-0.001950371,,,
0.668,-0.073235686,-0.101198402,-0.001992623,,,
0.672,-0.073235686,-0.101198402,-0.002034806,,,
0.676,-0.073235686,-0.101198402,-0.002076919,,,
0.68,-0.073235686,-0.101198402,-0.002118961,,,
0.684,-0.073235686,-0.101198402,-0.002160934,,,
0.688,0.926764314,-0.101198402,-0.002202837,,,
0.692,-0.073235686,-0.101198402,-0.002244671,,,
0.696,-0.073235686,-0.101198402,-0.002286435,,,
0.7,-0.073235686,-0.101198402,-0.00232813,,,
0.704,-0.073235686,-0.101198402,-0.002369756,,,
0.708,-0.073235686,-0.101198402,-0.002411312,,,
0.712,0.926764314,-0.101198402,-0.0024528,,,
0.716,-0.073235686,-0.101198402,-0.002494218,,,
0.72,-0.073235686,-0.101198402,-0.002535568,,,
0.724,-0.073235686,-0.101198402,-0.00257685,,,
0.728,-0.073235686,0.898801598,-0.002168544,,,
0.732,-0.073235686,-0.101198402,-0.002210435,,,
0.736,-0.073235686,-0.101198402,-0.002252256,,,
0.74,-0.073235686,-0.101198402,-0.002294008,,,
0.744,-0.073235686,-0.101198402,-0.00233569,,,
0.748,-0.073235686,-0.101198402,-0.002377303,,,
0.752,-0.073235686,0.898801598,-0.001969329,,,
0.756,-0.073235686,-0.101198402,-0.00201155,,,
0.76,-0.073235686,-0.101198402,-0.002053702,,,
0.764,-0.073235686,-0.101198402,-0.002095783,,,
0.768,0.926764314,-0.101198402,-0.002137794,,,
0.772,-0.073235686,-0.101198402,-0.002179736,,,
0.776,-0.073235686,-0.101198402,-0.002221608,,,
0.78,-0.073235686,-0.101198402,-0.00226341,,,
0.784,-0.073235686,-0.101198402,-0.002305143,,,
